K,solver,objective,selected,nodes,nodes_pruned,solver_calls,time,root_ub,gap,gap_pct,avg_latency,avg_local_only,reduction,completed
10,B&B+IPOPT,23.458013181805754,"[1, 9]",99,50.0,74.0,14.148260299814865,27.11544023097196,0.0,0.0,4.542960824176457,6.888762142357031,2.345801318180574,True
10,B&B+MINOS,23.458013181805754,"[1, 9]",91,46.0,68.0,15.556917400099337,27.115439842678455,0.0,0.0,4.542960824176457,6.888762142357031,2.345801318180574,True
10,SCIP,23.458013181805754,"[1, 9]",1,,,0.05063099996186793,,0.0,0.0,4.542960824176457,6.888762142357031,2.345801318180574,True
10,Couenne,23.458013181805754,"[1, 9]",0,,,0.19188720011152327,,0.0,0.0,4.542960824176457,6.888762142357031,2.345801318180574,True
15,B&B+IPOPT,30.05490255024329,"[1, 6, 8]",113,57.0,76.0,14.311880600173026,31.68705837604363,0.0,0.0,2.907406483696582,4.911066653712802,2.00366017001622,True
15,B&B+MINOS,30.05490255024329,"[1, 6, 8]",63,32.0,40.0,8.163720099953935,31.68705768012259,0.0,0.0,2.907406483696582,4.911066653712802,2.00366017001622,True
15,SCIP,30.0549025502433,"[1, 6, 8]",1,,,0.01342749991454184,,0.0,0.0,2.907406483696582,4.911066653712802,2.00366017001622,True
15,Couenne,30.05490255024329,"[1, 6, 8]",0,,,0.1227385001257062,,0.0,0.0,2.907406483696582,4.911066653712802,2.00366017001622,True
20,B&B+IPOPT,36.35027553125669,"[7, 8, 11, 18]",257,129.0,196.0,37.24658320005983,38.197534855069385,0.0,0.0,3.542822517071977,5.360336293634812,1.8175137765628349,True
20,B&B+MINOS,36.35027553125669,"[7, 8, 11, 18]",197,99.0,143.0,30.714532100129873,38.19753358322814,0.0,0.0,3.542822517071977,5.360336293634812,1.8175137765628349,True
20,SCIP,36.35027553125669,"[7, 8, 11, 18]",1,,,0.04032219992950559,,0.0,0.0,3.542822517071977,5.360336293634812,1.8175137765628349,True
20,Couenne,36.35027553125669,"[7, 8, 11, 18]",0,,,0.1483096000738442,,0.0,0.0,3.542822517071977,5.360336293634812,1.8175137765628349,True
25,B&B+IPOPT,45.04180505267843,"[8, 11, 18, 22]",187,94.0,157.0,32.135422699851915,46.84588067810889,0.0,0.0,4.920761468044604,6.722433670151741,1.8016722021071372,True
25,B&B+MINOS,45.04180505267843,"[8, 11, 18, 22]",345,173.0,269.0,59.940504299942404,46.84587910961857,0.0,0.0,4.920761468044604,6.722433670151741,1.8016722021071372,True
25,SCIP,45.04180505267843,"[8, 11, 18, 22]",1,,,0.04804140003398061,,0.0,0.0,4.920761468044604,6.722433670151741,1.8016722021071372,True
25,Couenne,45.04180505267843,"[8, 11, 18, 22]",0,,,0.14059969992376864,,0.0,0.0,4.920761468044604,6.722433670151741,1.8016722021071372,True
30,B&B+IPOPT,42.102781292776726,"[5, 12, 16, 19]",367,184.0,328.0,67.30399669986218,43.61393090307344,0.0,0.0,4.0204602363582325,5.423886279450789,1.4034260430925567,True
30,B&B+MINOS,42.102781292776726,"[5, 12, 16, 19]",537,269.0,440.0,99.22159500000998,43.61392972282169,0.0,0.0,4.0204602363582325,5.423886279450789,1.4034260430925567,True
30,SCIP,42.102781292776726,"[5, 12, 16, 19]",1,,,0.03456309996545315,,0.0,0.0,4.0204602363582325,5.423886279450789,1.4034260430925567,True
30,Couenne,42.102781292776726,"[5, 12, 16, 19]",0,,,0.08810559986159205,,0.0,0.0,4.0204602363582325,5.423886279450789,1.4034260430925567,True
35,B&B+IPOPT,59.95191643770946,"[3, 7, 26, 33]",631,316.0,525.0,52.95602099993266,59.97596045922271,0.0,0.0,4.569928366868439,6.282840265088708,1.712911898220269,True
